Source,Target,source.type,target.type,abs.r,r,p.n,p
(f)Fusobacteriaceae,MEperu,genus,trans,0.503361344537815,0.503361344537815,pos,0.00205380155132617
(f)Fusobacteriaceae,MEseashell2,genus,trans,0.461064425770308,-0.461064425770308,neg,0.00531033781505225
(f)Gemmataceae,MEbrown1,genus,trans,0.400560224089636,-0.400560224089636,neg,0.0171028614913961
(f)Gemmataceae,MEcornflowerblue,genus,trans,0.415406162464986,-0.415406162464986,neg,0.0130788107743093
(f)Intrasporangiaceae,MEblueviolet,genus,trans,0.421288515406163,0.421288515406163,pos,0.0117220676516565
(f)Intrasporangiaceae,MEcornflowerblue,genus,trans,0.409803921568628,-0.409803921568628,neg,0.014491719801144
(f)Intrasporangiaceae,MEdarkolivegreen4,genus,trans,0.432212885154062,-0.432212885154062,neg,0.00951675325512713
(f)Intrasporangiaceae,MEkhaki2,genus,trans,0.420168067226891,0.420168067226891,pos,0.0119708964035781
(f)Intrasporangiaceae,MElightblue1,genus,trans,0.412044817927171,-0.412044817927171,neg,0.0139118839820623
(f)Intrasporangiaceae,Size_UD,genus,CT,0.40279347283034,-0.40279347283034,neg,0.0164384956867225
(f)Lactobacillaceae,MEkhaki2,genus,trans,0.42156862745098,0.42156862745098,pos,0.0116605484258819
(f)Methylobacteriaceae,MEchocolate3,genus,trans,0.402801120448179,-0.402801120448179,neg,0.0164362582939857
(f)Methylobacteriaceae,MElavenderblush2,genus,trans,0.458263305322129,-0.458263305322129,neg,0.00563206550819802
(f)Methylobacteriaceae,MEmediumorchid,genus,trans,0.431932773109244,-0.431932773109244,neg,0.00956854191412547
(f)Micrococcaceae,MEkhaki2,genus,trans,0.422128851540616,0.422128851540616,pos,0.0115383288185695
(f)Neisseriaceae,MEbrown4,genus,trans,0.454621848739496,-0.454621848739496,neg,0.00607526191431116
(f)Neisseriaceae,MEchocolate2,genus,trans,0.408683473389356,-0.408683473389356,neg,0.0147891722125651
(f)Neisseriaceae,MEchocolate3,genus,trans,0.502801120448179,-0.502801120448179,neg,0.00208146606148242
(f)Paenibacillaceae,MEgoldenrod3,genus,trans,0.420448179271709,-0.420448179271709,neg,0.0119082745145828
(f)Paenibacillaceae,MElemonchiffon3,genus,trans,0.408963585434174,0.408963585434174,pos,0.0147143324531147
(f)Pirellulaceae,MEbrown1,genus,trans,0.421848739495798,-0.421848739495798,neg,0.0115993024666576
(f)Planococcaceae,MEhotpink2,genus,trans,0.406162464985994,0.406162464985994,pos,0.0154772357762539
(f)Planococcaceae,MEplum,genus,trans,0.430532212885154,-0.430532212885154,neg,0.00983109297356436
(f)Rhodobacteraceae,MEantiquewhite2,genus,trans,0.456022408963585,0.456022408963585,pos,0.00590138146575009
(f)Rhodobacteraceae,MEdarkgrey,genus,trans,0.464985994397759,-0.464985994397759,neg,0.00488656644364588
(f)Rhodobacteraceae,MElightskyblue3,genus,trans,0.41484593837535,0.41484593837535,pos,0.0132146608978713
(f)Rhodobacteraceae,MEmistyrose3,genus,trans,0.476750700280112,0.476750700280112,pos,0.00378542194078903
(f)Rhodocyclaceae,MEkhaki2,genus,trans,0.422408963585434,0.422408963585434,pos,0.0114776265283481
(f)Saprospiraceae,MEantiquewhite3,genus,trans,0.44733893557423,0.44733893557423,pos,0.00705208827045426
(f)Saprospiraceae,MEblueviolet,genus,trans,0.47843137254902,0.47843137254902,pos,0.00364717311577158
(f)Saprospiraceae,MEchocolate,genus,trans,0.417647058823529,0.417647058823529,pos,0.0125471234572842
(f)Saprospiraceae,MEcoral4,genus,trans,0.417086834733894,0.417086834733894,pos,0.0126783042644104
(f)Saprospiraceae,MEcornflowerblue,genus,trans,0.437535014005602,-0.437535014005602,neg,0.00857709173520839
(f)Saprospiraceae,MEhotpink4,genus,trans,0.422689075630252,0.422689075630252,pos,0.0114171946448683
(f)Saprospiraceae,MEkhaki2,genus,trans,0.510364145658263,0.510364145658263,pos,0.00173416483956374
(f)Saprospiraceae,MElightblue2,genus,trans,0.480672268907563,0.480672268907563,pos,0.00346966174745067
(f)Saprospiraceae,MElightgoldenrod3,genus,trans,0.424649859943978,0.424649859943978,pos,0.0110016634052243
(f)Saprospiraceae,MElightgoldenrod4,genus,trans,0.422689075630252,0.422689075630252,pos,0.0114171946448683
(f)Saprospiraceae,MElightpink2,genus,trans,0.403641456582633,0.403641456582633,pos,0.0161919575969213
(f)Saprospiraceae,MEmediumblue,genus,trans,0.402240896358543,0.402240896358543,pos,0.0166008342546667
(f)Saprospiraceae,MEmediumorchid1,genus,trans,0.428011204481793,0.428011204481793,pos,0.0103191168351887
(f)Sphingomonadaceae,MEdarkorchid4,genus,trans,0.42156862745098,0.42156862745098,pos,0.0116605484258819
(f)Sphingomonadaceae,MEpalevioletred2,genus,trans,0.422128851540616,-0.422128851540616,neg,0.0115383288185695
(g)Aerococcus,MElavenderblush2,genus,trans,0.403921568627451,-0.403921568627451,neg,0.0161112031798875
(g)Aerococcus,MEorange4,genus,trans,0.401120448179272,0.401120448179272,pos,0.0169341270003601
(g)Aeromonas,LesionType,genus,CT,0.413201663243556,-0.413201663243556,neg,0.0136202720176967
(g)Albidovulum,MEgreenyellow,genus,trans,0.414005602240896,-0.414005602240896,neg,0.0134206649021549
(g)Arcobacter,MElavenderblush,genus,trans,0.425490196078431,-0.425490196078431,neg,0.0108275404670719
(g)Arcobacter,MElavenderblush2,genus,trans,0.480392156862745,-0.480392156862745,neg,0.00349143258464028
(g)Arcobacter,MEpalevioletred2,genus,trans,0.46890756302521,-0.46890756302521,neg,0.00449228001321075
(g)Arcobacter,MEskyblue1,genus,trans,0.410924369747899,-0.410924369747899,neg,0.0141993126159851
(g)Asticcacaulis,MEbrown4,genus,trans,0.564145658263305,-0.564145658263305,neg,0.000416079582023826
(g)Asticcacaulis,MEchocolate3,genus,trans,0.672268907563025,-0.672268907563025,neg,9.73778983922028e-06
(g)Asticcacaulis,MEcoral4,genus,trans,0.409803921568628,0.409803921568628,pos,0.014491719801144
(g)Asticcacaulis,MEgreen3,genus,trans,0.471428571428571,0.471428571428571,pos,0.00425358459102621
(g)Asticcacaulis,MElavenderblush2,genus,trans,0.56078431372549,-0.56078431372549,neg,0.000458180712587177
(g)Asticcacaulis,MElightblue1,genus,trans,0.455182072829132,-0.455182072829132,neg,0.00600518901749181
(g)Asticcacaulis,MElightcyan,genus,trans,0.489635854341737,-0.489635854341737,neg,0.00283240768921867
(g)Asticcacaulis,MElightgoldenrod3,genus,trans,0.423809523809524,0.423809523809524,pos,0.0111781522309381
(g)Asticcacaulis,MElightpink4,genus,trans,0.44733893557423,-0.44733893557423,neg,0.00705208827045426
(g)Asticcacaulis,MEorange4,genus,trans,0.435014005602241,0.435014005602241,pos,0.00901183892498468
(g)Asticcacaulis,MEpink1,genus,trans,0.455182072829132,0.455182072829132,pos,0.00600518901749181
(g)Asticcacaulis,MEskyblue1,genus,trans,0.417086834733894,-0.417086834733894,neg,0.0126783042644104
(g)Asticcacaulis,MEslateblue1,genus,trans,0.411764705882353,0.411764705882353,pos,0.0139832780272886
(g)Asticcacaulis,MEthistle4,genus,trans,0.405322128851541,0.405322128851541,pos,0.0157124756571256
(g)Asticcacaulis,MEwhite,genus,trans,0.411484593837535,-0.411484593837535,neg,0.0140549801261507
(g)Bacteroides,Ctvalue,genus,CT,0.479899150246686,0.479899150246686,pos,0.00353003785564263
(g)Bacteroides,MEskyblue2,genus,trans,0.428011204481793,-0.428011204481793,neg,0.0103191168351887
(g)Bdellovibrio,MEburlywood,genus,trans,0.405322128851541,0.405322128851541,pos,0.0157124756571256
(g)Bdellovibrio,MEburlywood3,genus,trans,0.471148459383754,-0.471148459383754,neg,0.00427955308432443
(g)Bdellovibrio,MEcoral1,genus,trans,0.407002801120448,0.407002801120448,pos,0.0152449578109088
(g)Bdellovibrio,MEdarkgoldenrod3,genus,trans,0.426890756302521,-0.426890756302521,neg,0.010542525000737
(g)Bdellovibrio,MEdarkorange,genus,trans,0.425770308123249,-0.425770308123249,neg,0.0107700208970014
