Source,Target,source.type,target.type,abs.r,r,p.n,p
(f)[Chromatiaceae],MElavenderblush2,genus,trans,0.493233082706767,-0.493233082706767,neg,0.0271142049419442
(f)[Chromatiaceae],MElightblue3,genus,trans,0.518796992481203,0.518796992481203,pos,0.0190883943841925
(f)[Chromatiaceae],MElightcyan,genus,trans,0.455639097744361,-0.455639097744361,neg,0.043493409805466
(f)[Chromatiaceae],MEnavajowhite2,genus,trans,0.493233082706767,-0.493233082706767,neg,0.0271142049419442
(f)[Chromatiaceae],MEpaleturquoise,genus,trans,0.536842105263158,-0.536842105263158,neg,0.0146632944255229
(f)[Chromatiaceae],MEtomato4,genus,trans,0.475187969924812,0.475187969924812,pos,0.0342272511450713
(f)[Exiguobacteraceae],MEaliceblue,genus,trans,0.553383458646617,0.553383458646617,pos,0.0113703534711723
(f)[Exiguobacteraceae],MEdarkseagreen3,genus,trans,0.509774436090226,-0.509774436090226,neg,0.0216689666215354
(f)[Exiguobacteraceae],MEdeeppink1,genus,trans,0.607518796992481,-0.607518796992481,neg,0.00449510100174883
(f)[Exiguobacteraceae],MEgrey60,genus,trans,0.615037593984962,-0.615037593984962,neg,0.00390031129821323
(f)[Exiguobacteraceae],MElightcyan,genus,trans,0.52781954887218,-0.52781954887218,neg,0.0167591268829289
(f)[Exiguobacteraceae],MElightgreen,genus,trans,0.55187969924812,-0.55187969924812,neg,0.0116423733670858
(f)[Exiguobacteraceae],MEmediumpurple2,genus,trans,0.478195488721805,0.478195488721805,pos,0.0329503832149577
(f)[Exiguobacteraceae],MEnavajowhite1,genus,trans,0.574436090225564,-0.574436090225564,neg,0.00807276065605409
(f)[Exiguobacteraceae],MEpaleturquoise,genus,trans,0.726315789473684,-0.726315789473684,neg,0.000287532871214557
(f)[Exiguobacteraceae],MEpaleturquoise1,genus,trans,0.517293233082707,-0.517293233082707,neg,0.019500547061355
(f)[Exiguobacteraceae],MEred4,genus,trans,0.496240601503759,0.496240601503759,pos,0.0260514647072489
(f)[Exiguobacteraceae],MEsalmon,genus,trans,0.457142857142857,-0.457142857142857,neg,0.042718510627877
(f)[Exiguobacteraceae],MEtomato4,genus,trans,0.572932330827068,0.572932330827068,pos,0.00827878742948367
(f)[Weeksellaceae],MEchocolate,genus,trans,0.601503759398496,-0.601503759398496,neg,0.00502320258688202
(f)[Weeksellaceae],MElightgoldenrod3,genus,trans,0.451127819548872,-0.451127819548872,neg,0.0458832588000064
(f)[Weeksellaceae],MElightseagreen,genus,trans,0.482706766917293,-0.482706766917293,neg,0.0311052168695434
(f)[Weeksellaceae],MEorangered2,genus,trans,0.475187969924812,0.475187969924812,pos,0.0342272511450713
(f)[Weeksellaceae],MEpaleturquoise4,genus,trans,0.581954887218045,-0.581954887218045,neg,0.00710443754510044
(f)[Weeksellaceae],MEpalevioletred2,genus,trans,0.47218045112782,0.47218045112782,pos,0.035542393671932
(f)[Weeksellaceae],MErosybrown2,genus,trans,0.694736842105263,0.694736842105263,pos,0.000675271463382603
(f)[Weeksellaceae],MEsalmon1,genus,trans,0.592481203007519,0.592481203007519,pos,0.00591046590218419
(f)[Weeksellaceae],MEskyblue1,genus,trans,0.535338345864662,0.535338345864662,pos,0.0149971296436326
(f)[Weeksellaceae],MEthistle4,genus,trans,0.493233082706767,-0.493233082706767,neg,0.0271142049419442
(f)[Weeksellaceae],MEyellow4,genus,trans,0.571428571428571,0.571428571428571,pos,0.00848908569476669
(f)Acetobacteraceae,MaxDiameter,genus,CT,0.458764314238812,-0.458764314238812,neg,0.0418949472840437
(f)Acetobacteraceae,MEaliceblue,genus,trans,0.545864661654135,0.545864661654135,pos,0.0127836288762047
(f)Acetobacteraceae,MEbrown4,genus,trans,0.491729323308271,-0.491729323308271,neg,0.0276582275130461
(f)Acetobacteraceae,MEcoral,genus,trans,0.502255639097744,-0.502255639097744,neg,0.0240246894652156
(f)Acetobacteraceae,MEdarkblue,genus,trans,0.491729323308271,0.491729323308271,pos,0.0276582275130461
(f)Acetobacteraceae,MEdeeppink,genus,trans,0.520300751879699,-0.520300751879699,neg,0.0186832211431206
(f)Acetobacteraceae,MEdeeppink1,genus,trans,0.52781954887218,-0.52781954887218,neg,0.0167591268829289
(f)Acetobacteraceae,MEfirebrick2,genus,trans,0.526315789473684,0.526315789473684,pos,0.0171306519857882
(f)Acetobacteraceae,MEgrey60,genus,trans,0.619548872180451,-0.619548872180451,neg,0.00357585294441344
(f)Acetobacteraceae,MEhoneydew1,genus,trans,0.449624060150376,-0.449624060150376,neg,0.0467019093880629
(f)Acetobacteraceae,MEindianred2,genus,trans,0.523308270676692,0.523308270676692,pos,0.0178934779804182
(f)Acetobacteraceae,MElightgreen,genus,trans,0.6,-0.6,neg,0.0051629256736768
(f)Acetobacteraceae,MEnavajowhite1,genus,trans,0.523308270676692,-0.523308270676692,neg,0.0178934779804182
(f)Acetobacteraceae,MEpaleturquoise,genus,trans,0.467669172932331,-0.467669172932331,neg,0.0375885102041488
(f)Acetobacteraceae,MEsalmon,genus,trans,0.538345864661654,-0.538345864661654,neg,0.0143354623967936
(f)Aerococcaceae,LesionType,genus,CT,0.628654727904987,0.628654727904987,pos,0.00298883947751148
(f)Aerococcaceae,MEaliceblue,genus,trans,0.562406015037594,0.562406015037594,pos,0.00984430003305579
(f)Aerococcaceae,MEantiquewhite4,genus,trans,0.565413533834586,-0.565413533834586,neg,0.00937431775063153
(f)Aerococcaceae,MEaquamarine1,genus,trans,0.52781954887218,0.52781954887218,pos,0.0167591268829289
(f)Aerococcaceae,MEbrown1,genus,trans,0.604511278195489,-0.604511278195489,neg,0.0047531008240938
(f)Aerococcaceae,MEchocolate2,genus,trans,0.502255639097744,-0.502255639097744,neg,0.0240246894652156
(f)Aerococcaceae,MEcoral1,genus,trans,0.517293233082707,-0.517293233082707,neg,0.019500547061355
(f)Aerococcaceae,MEcyan,genus,trans,0.6,0.6,pos,0.0051629256736768
(f)Aerococcaceae,MEdarkorchid2,genus,trans,0.485714285714286,0.485714285714286,pos,0.0299207825255925
(f)Aerococcaceae,MEdarkorchid3,genus,trans,0.56390977443609,-0.56390977443609,neg,0.00960697153757662
(f)Aerococcaceae,MEdarkseagreen1,genus,trans,0.536842105263158,0.536842105263158,pos,0.0146632944255229
(f)Aerococcaceae,MEdarkseagreen3,genus,trans,0.747368421052632,-0.747368421052632,neg,0.000152313709661083
(f)Aerococcaceae,MEdarkseagreen4,genus,trans,0.526315789473684,0.526315789473684,pos,0.0171306519857882
(f)Aerococcaceae,MEdeeppink2,genus,trans,0.547368421052632,0.547368421052632,pos,0.0124901903696035
(f)Aerococcaceae,MEdeepskyblue4,genus,trans,0.547368421052632,0.547368421052632,pos,0.0124901903696035
(f)Aerococcaceae,MEdodgerblue,genus,trans,0.657142857142857,-0.657142857142857,neg,0.00164308760423424
(f)Aerococcaceae,MEfirebrick3,genus,trans,0.491729323308271,-0.491729323308271,neg,0.0276582275130461
(f)Aerococcaceae,MEgoldenrod2,genus,trans,0.700751879699248,0.700751879699248,pos,0.000578664102019436
(f)Aerococcaceae,MEgoldenrod3,genus,trans,0.493233082706767,-0.493233082706767,neg,0.0271142049419442
(f)Aerococcaceae,MEgreenyellow,genus,trans,0.499248120300752,0.499248120300752,pos,0.025021864609018
(f)Aerococcaceae,MEgrey60,genus,trans,0.487218045112782,-0.487218045112782,neg,0.0293419919037082
(f)Aerococcaceae,MEhoneydew,genus,trans,0.538345864661654,-0.538345864661654,neg,0.0143354623967936
(f)Aerococcaceae,MEindianred2,genus,trans,0.619548872180451,0.619548872180451,pos,0.00357585294441344
(f)Aerococcaceae,MEivory,genus,trans,0.490225563909774,-0.490225563909774,neg,0.028210805618894
(f)Aerococcaceae,MElightblue4,genus,trans,0.497744360902256,-0.497744360902256,neg,0.0255325669630838
(f)Aerococcaceae,MElightcyan,genus,trans,0.521804511278195,-0.521804511278195,neg,0.0182849434820976
(f)Aerococcaceae,MElightgoldenrod3,genus,trans,0.464661654135338,0.464661654135338,pos,0.0390026194861654
(f)Aerococcaceae,MElightpink4,genus,trans,0.559398496240601,-0.559398496240601,neg,0.0103332584610107
(f)Aerococcaceae,MElightseagreen,genus,trans,0.596992481203008,0.596992481203008,pos,0.0054519893833496
(f)Aerococcaceae,MElightskyblue1,genus,trans,0.473684210526316,-0.473684210526316,neg,0.0348799913794966
(f)Aerococcaceae,MElightslateblue,genus,trans,0.502255639097744,0.502255639097744,pos,0.0240246894652156
(f)Aerococcaceae,MElimegreen,genus,trans,0.566917293233083,0.566917293233083,pos,0.00914627004759854
(f)Aerococcaceae,MEmagenta,genus,trans,0.616541353383459,0.616541353383459,pos,0.00378955558815761
(f)Aerococcaceae,MEmagenta2,genus,trans,0.569924812030075,0.569924812030075,pos,0.00870372122541619
(f)Aerococcaceae,MEmediumorchid4,genus,trans,0.536842105263158,0.536842105263158,pos,0.0146632944255229
(f)Aerococcaceae,MEmediumpurple1,genus,trans,0.696240601503759,-0.696240601503759,neg,0.000649924405497341
(f)Aerococcaceae,MEmediumpurple2,genus,trans,0.691729323308271,0.691729323308271,pos,0.000728484529831453
(f)Aerococcaceae,MEmintcream,genus,trans,0.496240601503759,0.496240601503759,pos,0.0260514647072489
(f)Aerococcaceae,MEmistyrose1,genus,trans,0.663157894736842,0.663157894736842,pos,0.00143681486510744
(f)Aerococcaceae,MEnavajowhite1,genus,trans,0.520300751879699,-0.520300751879699,neg,0.0186832211431206
(f)Aerococcaceae,MEnavajowhite4,genus,trans,0.452631578947368,-0.452631578947368,neg,0.0450756887830484
(f)Aerococcaceae,MEoldlace,genus,trans,0.566917293233083,0.566917293233083,pos,0.00914627004759854
(f)Aerococcaceae,MEolivedrab3,genus,trans,0.530827067669173,-0.530827067669173,neg,0.0160354443767762
(f)Aerococcaceae,MEpalegreen3,genus,trans,0.545864661654135,-0.545864661654135,neg,0.0127836288762047
(f)Aerococcaceae,MEpaleturquoise1,genus,trans,0.580451127819549,-0.580451127819549,neg,0.00729007322448419
(f)Aerococcaceae,MEpaleturquoise3,genus,trans,0.633082706766917,0.633082706766917,pos,0.00273378687905133
(f)Aerococcaceae,MEperu,genus,trans,0.482706766917293,-0.482706766917293,neg,0.0311052168695434
(f)Aerococcaceae,MEplum1,genus,trans,0.538345864661654,0.538345864661654,pos,0.0143354623967936
(f)Aerococcaceae,MEplum3,genus,trans,0.559398496240601,-0.559398496240601,neg,0.0103332584610107
(f)Aerococcaceae,MEred4,genus,trans,0.505263157894737,0.505263157894737,pos,0.0230592294741742
(f)Aerococcaceae,MEroyalblue1,genus,trans,0.613533834586466,0.613533834586466,pos,0.00401373472990365
(f)Aerococcaceae,MEsalmon2,genus,trans,0.446616541353383,-0.446616541353383,neg,0.0483728331092669
(f)Aerococcaceae,MEskyblue3,genus,trans,0.572932330827068,-0.572932330827068,neg,0.00827878742948367
(f)Aerococcaceae,MEtan4,genus,trans,0.506766917293233,0.506766917293233,pos,0.0225881723805918
(f)Aerococcaceae,MEthistle4,genus,trans,0.541353383458647,0.541353383458647,pos,0.0136974953970477
(f)Aerococcaceae,MEtomato4,genus,trans,0.475187969924812,0.475187969924812,pos,0.0342272511450713
(f)Aerococcaceae,MEturquoise,genus,trans,0.603007518796992,0.603007518796992,pos,0.00488661231502584
(f)Aerococcaceae,MEturquoise4,genus,trans,0.581954887218045,0.581954887218045,pos,0.00710443754510044
(f)Aerococcaceae,MEyellow2,genus,trans,0.493233082706767,0.493233082706767,pos,0.0271142049419442
(f)Alcaligenaceae,InnerMiddleOuterBelt,genus,CT,0.44731704532681,-0.44731704532681,neg,0.0479796120460947
(f)Alcaligenaceae,MEpaleturquoise,genus,trans,0.452631578947368,-0.452631578947368,neg,0.0450756887830484
(f)Bacillaceae,MEantiquewhite4,genus,trans,0.565413533834586,-0.565413533834586,neg,0.00937431775063153
(f)Bacillaceae,MEburlywood,genus,trans,0.457142857142857,-0.457142857142857,neg,0.042718510627877
(f)Bacillaceae,MEchocolate1,genus,trans,0.481203007518797,-0.481203007518797,neg,0.0317110446244624
(f)Bacillaceae,MEcoral1,genus,trans,0.485714285714286,-0.485714285714286,neg,0.0299207825255925
(f)Bacillaceae,MElemonchiffon4,genus,trans,0.46015037593985,-0.46015037593985,neg,0.0412007178019545
(f)Bacillaceae,MEmagenta4,genus,trans,0.484210526315789,-0.484210526315789,neg,0.0305084935506666
(f)Beijerinckiaceae,Ctvalue,genus,CT,0.481565222856137,0.481565222856137,pos,0.0315642796179672
(f)Beijerinckiaceae,LesionType,genus,CT,0.541943730952575,0.541943730952575,pos,0.0135749977300863
(f)Beijerinckiaceae,MEaquamarine,genus,trans,0.488721804511278,-0.488721804511278,neg,0.0287720300549961
(f)Beijerinckiaceae,MEblue4,genus,trans,0.505263157894737,0.505263157894737,pos,0.0230592294741742
(f)Beijerinckiaceae,MEcornsilk2,genus,trans,0.520300751879699,0.520300751879699,pos,0.0186832211431206
(f)Beijerinckiaceae,MElightblue4,genus,trans,0.56390977443609,-0.56390977443609,neg,0.00960697153757662
(f)Beijerinckiaceae,MElightcyan,genus,trans,0.586466165413534,-0.586466165413534,neg,0.00657061837110535
(f)Beijerinckiaceae,MElightpink4,genus,trans,0.505263157894737,-0.505263157894737,neg,0.0230592294741742
(f)Beijerinckiaceae,MElightskyblue3,genus,trans,0.497744360902256,-0.497744360902256,neg,0.0255325669630838
